,type,size,Algorithm,time_ms,copy_count,memory_kb
78,Sorted (Descending),100000,Library Sort,229.4855,699999,4392
79,Sorted (Descending),100000,Merge Sort,6.979004000000001,3537854,4544
80,Sorted (Descending),100000,Quick Sort,10082.823,7500249996,8964
81,Sorted (Descending),100000,Selection Sort,8881.376,150000,4080
82,Sorted (Descending),100000,Tim Sort,0.422683,150001,4092
83,Sorted (Descending),100000,Tournament Sort,7.8187240000000005,2262143,6164
84,Sorted (Descending),1000000,Bubble Sort,1814965.0,1499998500000,7624
85,Sorted (Descending),1000000,Cocktail Shaker Sort,2338611.0,1499998500000,7580
86,Sorted (Descending),1000000,Comb Sort,110.7577,8618478,7660
87,Sorted (Descending),1000000,Heap Sort,403.37399999999997,55000224,7636
88,Sorted (Descending),1000000,Insertion Sort,1109561.0,500001499998,7608
89,Sorted (Descending),1000000,Intro Sort,430.47830000000005,108895194,7868
90,Sorted (Descending),1000000,Library Sort,22878.06,6999999,8036
91,Sorted (Descending),1000000,Merge Sort,82.47596,41902846,11604
92,Sorted (Descending),1000000,Quick Sort,1004477.0,750002499996,54608
93,Sorted (Descending),1000000,Selection Sort,875597.5,1500000,7568
94,Sorted (Descending),1000000,Tim Sort,4.305677,1500001,7720
95,Sorted (Descending),1000000,Tournament Sort,85.49100999999999,25097151,23836
96,Random,1000,Bubble Sort,1.6459119999999998,747286,2068
97,Random,1000,Cocktail Shaker Sort,1.474985,748146,2088
98,Random,1000,Comb Sort,0.1338636,12597,3772
99,Random,1000,Heap Sort,0.0702643,27286,3748
100,Random,1000,Insertion Sort,0.4495852,251858,2148
101,Random,1000,Intro Sort,0.10261780000000001,16984,3980
102,Random,1000,Library Sort,0.5528675,6999,3752
103,Random,1000,Merge Sort,0.0899911,21950,4020
104,Random,1000,Quick Sort,0.0396401,20979,3936
105,Random,1000,Selection Sort,0.6002744,2976,2092
106,Random,1000,Tim Sort,0.1460164,25460,3835
107,Random,1000,Tournament Sort,0.0746397,15047,3792
108,Random,10000,Bubble Sort,132.5825,74837600,2068
